magx,magy,magz
0.2345,-0.8543,-0.4638
0.1845,-0.5734,-0.7982
0.1845,-0.5734,-0.7982
0.0886,-0.0059,-0.9961
0.0169,0.3563,-0.9342
0.1128,0.4202,-0.9004
0.0751,0.4272,-0.901
0.0751,0.4272,-0.901
0.0047,0.4487,-0.8937
-0.1163,0.2593,-0.9588
-0.2786,-0.2982,-0.9129
-0.0423,-0.9149,-0.4015
-0.0423,-0.9149,-0.4015
0.2579,-0.9488,-0.1823
0.3846,-0.8472,-0.3665
0.2963,-0.5486,-0.7819
0.0377,0.002,-0.9993
0.0377,0.002,-0.9993
-0.2067,0.2543,-0.9448
-0.4282,0.0163,-0.9036
-0.4269,-0.4839,-0.764
-0.2451,-0.795,-0.5549
-0.2451,-0.795,-0.5549
0.0693,-0.9274,-0.3675
0.2446,-0.9374,-0.2478
0.6578,-0.7123,-0.2448
0.8671,-0.331,-0.3724
0.8671,-0.331,-0.3724
0.8441,-0.2321,-0.4834
0.6367,-0.2673,-0.7233
0.28,-0.2735,-0.9202
-0.1095,-0.2673,-0.9574
-0.1095,-0.2673,-0.9574
-0.2975,-0.2555,-0.9199
-0.2578,-0.1497,-0.9545
-0.097,0.0022,-0.9953
0.1194,0.0914,-0.9886
0.1194,0.0914,-0.9886
0.3354,0.0737,-0.9392
0.5354,-0.0659,-0.842
0.6878,-0.2216,-0.6912
0.7159,-0.3481,-0.6052
0.7159,-0.3481,-0.6052
0.6838,-0.48,-0.5495
0.5947,-0.5638,-0.5731
0.3735,-0.6195,-0.6905
0.1313,-0.5438,-0.8289
0.1313,-0.5438,-0.8289
-0.0449,-0.2096,-0.9767
0.0237,0.2401,-0.9704
0.3392,0.4273,-0.8381
0.67,0.3292,-0.6654
0.67,0.3292,-0.6654
0.8164,0.1464,-0.5587
0.8193,0.0878,-0.5666
0.7178,-0.0071,-0.6963
0.5734,-0.0816,-0.8152
0.5734,-0.0816,-0.8152
0.3096,-0.1759,-0.9345
0.0787,-0.3536,-0.9321
-0.1541,-0.5726,-0.8052
-0.2338,-0.6495,-0.7235
-0.2338,-0.6495,-0.7235
-0.2569,-0.6239,-0.7381
-0.3057,-0.3863,-0.8703
-0.0021,-0.0734,-0.9973
0.4437,-0.2505,-0.8604
0.4437,-0.2505,-0.8604
0.2661,-0.752,-0.6031
-0.1357,-0.6184,-0.7741
-0.1139,-0.1641,-0.9798
0.3446,-0.0561,-0.9371
0.3446,-0.0561,-0.9371
0.6095,-0.3912,-0.6895
0.4304,-0.7223,-0.5413
0.2033,-0.7692,-0.6058
0.123,-0.5336,-0.8368
0.123,-0.5336,-0.8368
0.2861,-0.1571,-0.9452
0.5307,-0.0096,-0.8475
0.633,-0.1055,-0.7669
0.5759,-0.1926,-0.7945
0.5759,-0.1926,-0.7945
0.3657,-0.1369,-0.9206
0.1681,0.095,-0.9812
0.1941,0.2965,-0.9351
0.3145,0.2729,-0.9092
0.3145,0.2729,-0.9092
0.322,0.0494,-0.9455
0.145,-0.2983,-0.9434
-0.1431,-0.5014,-0.8533
-0.3264,-0.3875,-0.8621
-0.3264,-0.3875,-0.8621
-0.234,-0.1186,-0.965
0.0411,-0.0452,-0.9981
0.3308,-0.2677,-0.9049
0.4424,-0.5158,-0.7336
0.4424,-0.5158,-0.7336
0.4048,-0.6418,-0.6513
0.31,-0.5915,-0.7443
0.3191,-0.3376,-0.8855
0.4752,-0.0697,-0.8771
0.4752,-0.0697,-0.8771
0.5931,-0.0461,-0.8038
0.6111,-0.1449,-0.7781
0.4527,-0.2068,-0.8674
0.1714,-0.15,-0.9737
0.1714,-0.15,-0.9737
-0.0616,0.0533,-0.9967
-0.0614,0.2635,-0.9627
0.0839,0.3225,-0.9428
0.2287,0.1266,-0.9652
0.2287,0.1266,-0.9652
0.2728,-0.2266,-0.935
0.2085,-0.5548,-0.8054
0.1024,-0.6517,-0.7515
0.0347,-0.5846,-0.8106
0.0347,-0.5846,-0.8106
0.1558,-0.4008,-0.9028
0.4121,-0.2876,-0.8646
0.5514,-0.3362,-0.7635
0.5404,-0.3969,-0.742
0.5404,-0.3969,-0.742
0.3945,-0.3715,-0.8404
0.1903,-0.1802,-0.965
0.0144,0.0886,-0.996
0.0189,0.2894,-0.957
0.0189,0.2894,-0.957
0.1071,0.3314,-0.9374
0.2128,0.1816,-0.9601
0.2107,-0.1239,-0.9697
0.1847,-0.4169,-0.89
0.1847,-0.4169,-0.89
0.1368,-0.5564,-0.8195
0.1413,-0.5063,-0.8507
0.2394,-0.3497,-0.9058
0.4468,-0.179,-0.8765
0.4468,-0.179,-0.8765
